question_code,正答率,選択率1,選択率2,選択率3,選択率4,選択率5,識別値,70%以上のフラグ
112P038,90.7,2.9,1,90.7,5.3,,0.28,〇
112P039,31.3,31.3,57.4,3.9,7.4,,0.19,×
112P040,53,1.8,10.5,34.7,53,,0.33,×
112P041,90.4,3.6,0.8,5.1,90.4,,0.26,〇
112P042,99.3,99.3,0.2,0.3,0.3,,0.04,〇
112P043,98.7,0.7,0.1,0.5,98.7,,0.09,〇
112P044,10.4,1.1,49.2,10.4,39.2,,0.00,×
112P045,97.3,97.3,1.2,0.5,1,,0.12,〇
112P046,28.7,28.7,10.5,14.6,46.2,,0.09,×
112P047,94.1,3.2,1.5,1.3,94.1,,0.20,〇
112P048,80.2,80.2,6.1,2.7,10.9,,0.44,〇
112P049,14.8,41.4,42.2,1.6,14.8,,0.19,×
112P050,25.2,19.7,47.7,7.4,25.2,,0.13,×
112P051,57.4,57.4,0.4,12.6,29.5,,0.28,×
112P052,20.7,1.5,33.3,44.6,20.7,,0.10,×
112P053,57.6,57.6,0.7,38.2,3.4,,0.18,×
112P054,99.3,0.1,0.1,0.5,99.3,,0.05,〇
112P055,89.4,89.4,0.8,1.1,8.7,,0.28,〇
112P056,59,35,4.9,59,1.1,,0.30,×
112P057,74.7,74.7,11,0.9,13.4,,0.30,〇
112P058,93.1,0.8,4.3,1.8,93.1,,0.27,〇
112P059,93.3,93.3,1.2,2.8,2.7,,0.24,〇
112P060,60.3,3.1,4.8,31.8,60.3,,0.12,×
112P061,94.9,94.9,1.2,2.9,1,,0.17,〇
112P062,98.6,0.5,0.5,98.6,0.3,,0.10,〇
112P063,68,68,0.5,27.5,4,,0.27,×
112P064,87.5,87.5,1.4,0.6,10.4,,0.23,〇
112P065,83.6,83.6,1.4,1.5,13.5,,0.22,〇
112P066,61,3.9,61,34.9,0.1,,0.29,×
112P067,91.1,0.2,7.2,91.1,1.4,,0.13,〇
112P068,98.6,0.3,1,98.6,0.2,,0.09,〇
112P069,96.9,0.3,96.9,2.3,0.5,,0.16,〇
112P070,68,16.6,9.4,68,6,,-0.01,×
112P071,86.6,7.7,86.6,3.4,2.3,,0.27,〇
112P072,98.2,98.2,1.1,0.6,0.1,,0.10,〇
112P073,77.3,1,12.3,2.7,6.7,77.3,0.25,〇
112P074,61.1,2,0.5,16.8,19.7,61.1,0.40,×
112P075,80.9,4.6,2.1,80.9,4.9,7.5,0.35,〇
112P076,51.8,12.3,14.5,6.5,14.9,51.8,0.27,×
112P077,31.1,2.7,31.1,18.6,40.4,7.2,0.29,×
112P078,41.8,41.8,1.7,2,21.7,32.8,0.22,×
112P079,87.1,5.4,1.4,87.1,2.3,3.8,0.29,〇
112P080,68.1,9.9,1,17.6,68.1,3.4,0.32,×
112P081,40.7,40.7,19.5,5,9.7,25.1,0.36,×
